occupation_code,occupation_title,ai_exposure,occ_clean
11-1011,Chief Executives,1.334246,chief executives
11-1021,General and Operations Managers,0.5748773,general operations managers
11-2011,Advertising and Promotions Managers,1.294387,advertising promotions managers
11-2021,Marketing Managers,1.315032,marketing managers
11-2022,Sales Managers,1.26628,sales managers
11-2031,Public Relations Managers,1.293689,public relations managers
11-3011,Administrative Services Managers,0.7398278,administrative services managers
11-3021,Computer and Information Systems Managers,1.059853,computer information systems managers
11-3031,Financial Managers,1.446232,financial managers
11-3051,Industrial Production Managers,0.5086878,industrial production managers
11-3061,Purchasing Managers,1.423426,purchasing managers
11-3071,"Transportation, Storage, and Distribution Managers",0.8907923,transportation storage distribution managers
11-3111,Compensation and Benefits Managers,1.298235,compensation benefits managers
11-3121,Human Resources Managers,1.320417,human resources managers
11-3131,Training and Development Managers,1.284423,training development managers
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1443684,farmers ranchers other agricultural managers
11-9021,Construction Managers,1.029139,construction managers
11-9031,"Education Administrators, Preschool and Child Care Center/Program",0.838007,education administrators preschool child care center/program
11-9032,"Education Administrators, Elementary and Secondary School",1.048811,education administrators elementary secondary school
11-9033,"Education Administrators, Postsecondary",1.461149,education administrators postsecondary
11-9039,"Education Administrators, All Other",0.3541265,education administrators all other
11-9041,Engineering Managers,0.8370105,engineering managers
11-9051,Food Service Managers,-0.1213112,food service managers
11-9061,Funeral Directors,0.3719018,funeral directors
11-9071,Gaming Managers,0.8299207,gaming managers
11-9081,Lodging Managers,0.4021726,lodging managers
11-9111,Medical and Health Services Managers,1.260259,medical health services managers
11-9121,Natural Sciences Managers,1.327906,natural sciences managers
11-9131,Postmasters and Mail Superintendents,0.8233757,postmasters mail superintendents
11-9141,"Property, Real Estate, and Community Association Managers",1.215396,property real estate community association managers
11-9151,Social and Community Service Managers,1.156153,social community service managers
11-9161,Emergency Management Directors,1.030768,emergency management directors
11-9199,"Managers, All Other",0.9646872,managers all other
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.068559,agents business managers of artists performers athletes
13-1021,"Purchasing Agents and Buyers, Farm Products",0.7687054,purchasing agents buyers farm products
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.8188258,wholesale retail buyers except farm products
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.509181,purchasing agents except wholesale retail farm products
13-1031,"Claims Adjusters, Examiners, and Investigators",1.274024,claims adjusters examiners investigators
13-1032,"Insurance Appraisers, Auto Damage",0.6634955,insurance appraisers auto damage
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.6981205,compliance officers except agriculture construction health safety transportation
13-1051,Cost Estimators,1.367669,cost estimators
13-1071,"Employment, Recruitment, and Placement Specialists",1.36005,employment recruitment placement specialists
13-1074,Farm Labor Contractors,-0.4354025,farm labor contractors
13-1075,Labor Relations Specialists,1.334834,labor relations specialists
13-1081,Logisticians,1.297303,logisticians
13-1111,Management Analysts,1.432417,management analysts
13-1121,Meeting and Convention Planners,0.3740207,meeting convention planners
13-1131,Fundraisers,1.242567,fundraisers
13-1141,"Compensation, Benefits, and Job Analysis Specialists",1.440985,compensation benefits job analysis specialists
13-1151,Training and Development Specialists,1.198409,training development specialists
13-1161,Market Research Analysts and Marketing Specialists,1.426757,market research analysts marketing specialists
13-1199,"Business Operations Specialists, All Other",1.047687,business operations specialists all other
13-2011,Accountants and Auditors,1.481956,accountants auditors
13-2021,Appraisers and Assessors of Real Estate,0.8413203,appraisers assessors of real estate
13-2031,Budget Analysts,1.502988,budget analysts
13-2041,Credit Analysts,1.345268,credit analysts
13-2051,Financial Analysts,1.380615,financial analysts
13-2052,Personal Financial Advisors,1.400749,personal financial advisors
13-2053,Insurance Underwriters,1.326652,insurance underwriters
13-2061,Financial Examiners,1.526064,financial examiners
13-2071,Loan Counselors,1.385381,loan counselors
13-2072,Loan Officers,1.385739,loan officers
