occupation_code,occupation_name,education_required
11-1011,Chief executives,Bachelor's degree
11-1021,General and operations managers,Bachelor's degree
11-1031,Legislators,Bachelor's degree
11-2011,Advertising and promotions managers,Bachelor's degree
11-2021,Marketing managers,Bachelor's degree
11-2022,Sales managers,Bachelor's degree
11-2032,Public relations managers,Bachelor's degree
11-2033,Fundraising managers,Bachelor's degree
11-3012,Administrative services managers,Bachelor's degree
11-3013,Facilities managers,Bachelor's degree
11-3021,Computer and information systems managers,Bachelor's degree
11-3031,Financial managers,Bachelor's degree
11-3051,Industrial production managers,Bachelor's degree
11-3061,Purchasing managers,Bachelor's degree
11-3071,"Transportation, storage, and distribution managers",High school diploma or equivalent
11-3111,Compensation and benefits managers,Bachelor's degree
11-3121,Human resources managers,Bachelor's degree
11-3131,Training and development managers,Bachelor's degree
11-9013,"Farmers, ranchers, and other agricultural managers",High school diploma or equivalent
11-9021,Construction managers,Bachelor's degree
11-9031,"Education and childcare administrators, preschool and daycare",Bachelor's degree
11-9032,"Education administrators, kindergarten through secondary",Master's degree
11-9033,"Education administrators, postsecondary",Master's degree
11-9039,"Education administrators, all other",Bachelor's degree
11-9041,Architectural and engineering managers,Bachelor's degree
11-9051,Food service managers,High school diploma or equivalent
11-9071,Gambling managers,High school diploma or equivalent
11-9072,"Entertainment and recreation managers, except gambling",Bachelor's degree
11-9081,Lodging managers,High school diploma or equivalent
11-9111,Medical and health services managers,Bachelor's degree
11-9121,Natural sciences managers,Bachelor's degree
11-9131,Postmasters and mail superintendents,High school diploma or equivalent
11-9141,"Property, real estate, and community association managers",High school diploma or equivalent
11-9151,Social and community service managers,Bachelor's degree
11-9161,Emergency management directors,Bachelor's degree
11-9171,Funeral home managers,Associate's degree
11-9179,"Personal service managers, all other",High school diploma or equivalent
11-9199,"Managers, all other",Bachelor's degree
13-1011,"Agents and business managers of artists, performers, and athletes",Bachelor's degree
13-1020,Buyers and purchasing agents,Bachelor's degree
13-1031,"Claims adjusters, examiners, and investigators",High school diploma or equivalent
13-1032,"Insurance appraisers, auto damage",Postsecondary nondegree award
13-1041,Compliance officers,Bachelor's degree
13-1051,Cost estimators,Bachelor's degree
13-1071,Human resources specialists,Bachelor's degree
13-1074,Farm labor contractors,No formal educational credential
13-1075,Labor relations specialists,Bachelor's degree
13-1081,Logisticians,Bachelor's degree
13-1082,Project management specialists,Bachelor's degree
13-1111,Management analysts,Bachelor's degree
13-1121,"Meeting, convention, and event planners",Bachelor's degree
13-1131,Fundraisers,Bachelor's degree
13-1141,"Compensation, benefits, and job analysis specialists",Bachelor's degree
13-1151,Training and development specialists,Bachelor's degree
13-1161,Market research analysts and marketing specialists,Bachelor's degree
13-1199,"Business operations specialists, all other",Bachelor's degree
13-2011,Accountants and auditors,Bachelor's degree
13-2020,Property appraisers and assessors,Bachelor's degree
13-2031,Budget analysts,Bachelor's degree
13-2041,Credit analysts,Bachelor's degree
13-2051,Financial and investment analysts,Bachelor's degree
13-2052,Personal financial advisors,Bachelor's degree
13-2053,Insurance underwriters,Bachelor's degree
13-2054,Financial risk specialists,Bachelor's degree
13-2061,Financial examiners,Bachelor's degree
13-2071,Credit counselors,Bachelor's degree
13-2072,Loan officers,Bachelor's degree
13-2081,"Tax examiners and collectors, and revenue agents",Bachelor's degree
13-2082,Tax preparers,High school diploma or equivalent
13-2099,"Financial specialists, all other",Bachelor's degree
15-1211,Computer systems analysts,Bachelor's degree
15-1212,Information security analysts,Bachelor's degree
15-1221,Computer and information research scientists,Master's degree
15-1231,Computer network support specialists,Associate's degree
15-1232,Computer user support specialists,"Some college, no degree"
15-1241,Computer network architects,Bachelor's degree
15-1242,Database administrators,Bachelor's degree
15-1243,Database architects,Bachelor's degree
15-1244,Network and computer systems administrators,Bachelor's degree
15-1251,Computer programmers,Bachelor's degree
15-1252,Software developers,Bachelor's degree
15-1253,Software quality assurance analysts and testers,Bachelor's degree
15-1254,Web developers,Bachelor's degree
15-1255,Web and digital interface designers,Bachelor's degree
15-1299,"Computer occupations, all other",Bachelor's degree
15-2011,Actuaries,Bachelor's degree
15-2021,Mathematicians,Master's degree
15-2031,Operations research analysts,Bachelor's degree
15-2041,Statisticians,Master's degree
15-2051,Data scientists,Bachelor's degree
15-2099,"Mathematical science occupations, all other",Bachelor's degree
17-1011,"Architects, except landscape and naval",Bachelor's degree
17-1012,Landscape architects,Bachelor's degree
17-1021,Cartographers and photogrammetrists,Bachelor's degree
17-1022,Surveyors,Bachelor's degree
17-2011,Aerospace engineers,Bachelor's degree
17-2021,Agricultural engineers,Bachelor's degree
17-2031,Bioengineers and biomedical engineers,Bachelor's degree
17-2041,Chemical engineers,Bachelor's degree
17-2051,Civil engineers,Bachelor's degree
17-2061,Computer hardware engineers,Bachelor's degree
17-2071,Electrical engineers,Bachelor's degree
17-2072,"Electronics engineers, except computer",Bachelor's degree
17-2081,Environmental engineers,Bachelor's degree
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",Bachelor's degree
17-2112,Industrial engineers,Bachelor's degree
17-2121,Marine engineers and naval architects,Bachelor's degree
17-2131,Materials engineers,Bachelor's degree
17-2141,Mechanical engineers,Bachelor's degree
17-2151,"Mining and geological engineers, including mining safety engineers",Bachelor's degree
17-2161,Nuclear engineers,Bachelor's degree
17-2171,Petroleum engineers,Bachelor's degree
17-2199,"Engineers, all other",Bachelor's degree
17-3011,Architectural and civil drafters,Associate's degree
17-3012,Electrical and electronics drafters,Associate's degree
17-3013,Mechanical drafters,Associate's degree
17-3019,"Drafters, all other",Associate's degree
17-3021,Aerospace engineering and operations technologists and technicians,Associate's degree
17-3022,Civil engineering technologists and technicians,Associate's degree
17-3023,Electrical and electronic engineering technologists and technicians,Associate's degree
17-3024,Electro-mechanical and mechatronics technologists and technicians,Associate's degree
17-3025,Environmental engineering technologists and technicians,Associate's degree
17-3026,Industrial engineering technologists and technicians,Associate's degree
17-3027,Mechanical engineering technologists and technicians,Associate's degree
17-3028,Calibration technologists and technicians,Associate's degree
17-3029,"Engineering technologists and technicians, except drafters, all other",Associate's degree
17-3031,Surveying and mapping technicians,High school diploma or equivalent
19-1011,Animal scientists,Bachelor's degree
19-1012,Food scientists and technologists,Bachelor's degree
19-1013,Soil and plant scientists,Bachelor's degree
19-1021,Biochemists and biophysicists,Doctoral or professional degree
19-1022,Microbiologists,Bachelor's degree
