occupation_code,occupation_name,employment,year,occ_clean
00-0000,All Occupations,151853870.0,2023,all occupations
11-0000,Management Occupations,10495770.0,2023,management occupations
11-1000,Top Executives,3751510.0,2023,top executives
11-1010,Chief Executives,211230.0,2023,chief executives
11-1011,Chief Executives,211230.0,2023,chief executives
11-1020,General and Operations Managers,3507810.0,2023,general operations managers
11-1021,General and Operations Managers,3507810.0,2023,general operations managers
11-1030,Legislators,32460.0,2023,legislators
11-1031,Legislators,32460.0,2023,legislators
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",1070030.0,2023,advertising marketing promotions public relations sales managers
11-2010,Advertising and Promotions Managers,20630.0,2023,advertising promotions managers
11-2011,Advertising and Promotions Managers,20630.0,2023,advertising promotions managers
11-2020,Marketing and Sales Managers,944820.0,2023,marketing sales managers
11-2021,Marketing Managers,368940.0,2023,marketing managers
11-2022,Sales Managers,575880.0,2023,sales managers
11-2030,Public Relations and Fundraising Managers,104570.0,2023,public relations fundraising managers
11-2032,Public Relations Managers,72760.0,2023,public relations managers
11-2033,Fundraising Managers,31810.0,2023,fundraising managers
11-3000,Operations Specialties Managers,2513900.0,2023,operations specialties managers
11-3010,Administrative Services and Facilities Managers,373920.0,2023,administrative services facilities managers
11-3012,Administrative Services Managers,242520.0,2023,administrative services managers
11-3013,Facilities Managers,131400.0,2023,facilities managers
11-3020,Computer and Information Systems Managers,592600.0,2023,computer information systems managers
11-3021,Computer and Information Systems Managers,592600.0,2023,computer information systems managers
11-3030,Financial Managers,787340.0,2023,financial managers
11-3031,Financial Managers,787340.0,2023,financial managers
11-3050,Industrial Production Managers,222890.0,2023,industrial production managers
11-3051,Industrial Production Managers,222890.0,2023,industrial production managers
11-3060,Purchasing Managers,77530.0,2023,purchasing managers
11-3061,Purchasing Managers,77530.0,2023,purchasing managers
11-3070,"Transportation, Storage, and Distribution Managers",198780.0,2023,transportation storage distribution managers
11-3071,"Transportation, Storage, and Distribution Managers",198780.0,2023,transportation storage distribution managers
11-3110,Compensation and Benefits Managers,18690.0,2023,compensation benefits managers
11-3111,Compensation and Benefits Managers,18690.0,2023,compensation benefits managers
11-3120,Human Resources Managers,200600.0,2023,human resources managers
11-3121,Human Resources Managers,200600.0,2023,human resources managers
11-3130,Training and Development Managers,41540.0,2023,training development managers
11-3131,Training and Development Managers,41540.0,2023,training development managers
11-9000,Other Management Occupations,3160340.0,2023,other management occupations
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",6150.0,2023,farmers ranchers other agricultural managers
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6150.0,2023,farmers ranchers other agricultural managers
11-9020,Construction Managers,329190.0,2023,construction managers
11-9021,Construction Managers,329190.0,2023,construction managers
11-9030,Education and Childcare Administrators,584630.0,2023,education childcare administrators
11-9031,"Education and Childcare Administrators, Preschool and Daycare",64090.0,2023,education childcare administrators preschool daycare
11-9032,"Education Administrators, Kindergarten through Secondary",302580.0,2023,education administrators kindergarten through secondary
11-9033,"Education Administrators, Postsecondary",167270.0,2023,education administrators postsecondary
11-9039,"Education Administrators, All Other",50690.0,2023,education administrators all other
11-9040,Architectural and Engineering Managers,207800.0,2023,architectural engineering managers
11-9041,Architectural and Engineering Managers,207800.0,2023,architectural engineering managers
11-9050,Food Service Managers,246070.0,2023,food service managers
11-9051,Food Service Managers,246070.0,2023,food service managers
11-9070,Entertainment and Recreation Managers,34290.0,2023,entertainment recreation managers
11-9071,Gambling Managers,4590.0,2023,gambling managers
11-9072,"Entertainment and Recreation Managers, Except Gambling",29690.0,2023,entertainment recreation managers except gambling
11-9080,Lodging Managers,41980.0,2023,lodging managers
11-9081,Lodging Managers,41980.0,2023,lodging managers
11-9110,Medical and Health Services Managers,515100.0,2023,medical health services managers
11-9111,Medical and Health Services Managers,515100.0,2023,medical health services managers
11-9120,Natural Sciences Managers,96520.0,2023,natural sciences managers
11-9121,Natural Sciences Managers,96520.0,2023,natural sciences managers
11-9130,Postmasters and Mail Superintendents,13810.0,2023,postmasters mail superintendents
11-9131,Postmasters and Mail Superintendents,13810.0,2023,postmasters mail superintendents
11-9140,"Property, Real Estate, and Community Association Managers",284120.0,2023,property real estate community association managers
11-9141,"Property, Real Estate, and Community Association Managers",284120.0,2023,property real estate community association managers
11-9150,Social and Community Service Managers,173650.0,2023,social community service managers
11-9151,Social and Community Service Managers,173650.0,2023,social community service managers
11-9160,Emergency Management Directors,11910.0,2023,emergency management directors
11-9161,Emergency Management Directors,11910.0,2023,emergency management directors
11-9170,Personal Service Managers,25370.0,2023,personal service managers
11-9171,Funeral Home Managers,14200.0,2023,funeral home managers
11-9179,"Personal Service Managers, All Other",11170.0,2023,personal service managers all other
11-9190,Miscellaneous Managers,589750.0,2023,miscellaneous managers
11-9199,"Managers, All Other",589750.0,2023,managers all other
13-0000,Business and Financial Operations Occupations,10087830.0,2023,business financial operations occupations
13-1000,Business Operations Specialists,7048350.0,2023,business operations specialists
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",12870.0,2023,agents business managers of artists performers athletes
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",12870.0,2023,agents business managers of artists performers athletes
13-1020,Buyers and Purchasing Agents,477980.0,2023,buyers purchasing agents
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",302450.0,2023,claims adjusters appraisers examiners investigators
13-1031,"Claims Adjusters, Examiners, and Investigators",293780.0,2023,claims adjusters examiners investigators
13-1032,"Insurance Appraisers, Auto Damage",8670.0,2023,insurance appraisers auto damage
13-1040,Compliance Officers,383620.0,2023,compliance officers
13-1041,Compliance Officers,383620.0,2023,compliance officers
13-1050,Cost Estimators,220970.0,2023,cost estimators
13-1051,Cost Estimators,220970.0,2023,cost estimators
13-1070,Human Resources Workers,959230.0,2023,human resources workers
13-1071,Human Resources Specialists,895970.0,2023,human resources specialists
13-1074,Farm Labor Contractors,460.0,2023,farm labor contractors
13-1075,Labor Relations Specialists,62800.0,2023,labor relations specialists
13-1080,Logisticians and Project Management Specialists,1176100.0,2023,logisticians project management specialists
13-1081,Logisticians,228470.0,2023,logisticians
13-1082,Project Management Specialists,947630.0,2023,project management specialists
13-1110,Management Analysts,838140.0,2023,management analysts
13-1111,Management Analysts,838140.0,2023,management analysts
13-1120,"Meeting, Convention, and Event Planners",122130.0,2023,meeting convention event planners
13-1121,"Meeting, Convention, and Event Planners",122130.0,2023,meeting convention event planners
13-1130,Fundraisers,101730.0,2023,fundraisers
13-1131,Fundraisers,101730.0,2023,fundraisers
13-1140,"Compensation, Benefits, and Job Analysis Specialists",99850.0,2023,compensation benefits job analysis specialists
13-1141,"Compensation, Benefits, and Job Analysis Specialists",99850.0,2023,compensation benefits job analysis specialists
13-1150,Training and Development Specialists,403480.0,2023,training development specialists
13-1151,Training and Development Specialists,403480.0,2023,training development specialists
13-1160,Market Research Analysts and Marketing Specialists,846370.0,2023,market research analysts marketing specialists
13-1161,Market Research Analysts and Marketing Specialists,846370.0,2023,market research analysts marketing specialists
13-1190,Miscellaneous Business Operations Specialists,1103440.0,2023,miscellaneous business operations specialists
13-1199,"Business Operations Specialists, All Other",1103440.0,2023,business operations specialists all other
13-2000,Financial Specialists,3039480.0,2023,financial specialists
13-2010,Accountants and Auditors,1435770.0,2023,accountants auditors
13-2011,Accountants and Auditors,1435770.0,2023,accountants auditors
13-2020,Property Appraisers and Assessors,62090.0,2023,property appraisers assessors
13-2030,Budget Analysts,47310.0,2023,budget analysts
13-2031,Budget Analysts,47310.0,2023,budget analysts
13-2040,Credit Analysts,73200.0,2023,credit analysts
13-2041,Credit Analysts,73200.0,2023,credit analysts
13-2050,Financial Analysts and Advisors,753990.0,2023,financial analysts advisors
13-2051,Financial and Investment Analysts,325220.0,2023,financial investment analysts
13-2052,Personal Financial Advisors,272190.0,2023,personal financial advisors
13-2053,Insurance Underwriters,101310.0,2023,insurance underwriters
13-2054,Financial Risk Specialists,55290.0,2023,financial risk specialists
13-2060,Financial Examiners,63440.0,2023,financial examiners
13-2061,Financial Examiners,63440.0,2023,financial examiners
13-2070,Credit Counselors and Loan Officers,349040.0,2023,credit counselors loan officers
13-2071,Credit Counselors,27950.0,2023,credit counselors
13-2072,Loan Officers,321090.0,2023,loan officers
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",131910.0,2023,tax examiners collectors preparers revenue agents
13-2081,"Tax Examiners and Collectors, and Revenue Agents",50250.0,2023,tax examiners collectors revenue agents
13-2082,Tax Preparers,81650.0,2023,tax preparers
13-2090,Miscellaneous Financial Specialists,122730.0,2023,miscellaneous financial specialists
13-2099,"Financial Specialists, All Other",122730.0,2023,financial specialists all other
15-0000,Computer and Mathematical Occupations,5177400.0,2023,computer mathematical occupations
15-1200,Computer Occupations,4804840.0,2023,computer occupations
15-1210,Computer and Information Analysts,674170.0,2023,computer information analysts
15-1211,Computer Systems Analysts,498810.0,2023,computer systems analysts
15-1212,Information Security Analysts,175350.0,2023,information security analysts
15-1220,Computer and Information Research Scientists,35210.0,2023,computer information research scientists
15-1221,Computer and Information Research Scientists,35210.0,2023,computer information research scientists
15-1230,Computer Support Specialists,848420.0,2023,computer support specialists
15-1231,Computer Network Support Specialists,158720.0,2023,computer network support specialists
15-1232,Computer User Support Specialists,689700.0,2023,computer user support specialists
15-1240,Database and Network Administrators and Architects,633180.0,2023,database network administrators architects
15-1241,Computer Network Architects,174100.0,2023,computer network architects
15-1242,Database Administrators,76140.0,2023,database administrators
15-1243,Database Architects,59920.0,2023,database architects
15-1244,Network and Computer Systems Administrators,323020.0,2023,network computer systems administrators
15-1250,"Software and Web Developers, Programmers, and Testers",2176710.0,2023,software web developers programmers testers
15-1251,Computer Programmers,120370.0,2023,computer programmers
15-1252,Software Developers,1656880.0,2023,software developers
15-1253,Software Quality Assurance Analysts and Testers,203040.0,2023,software quality assurance analysts testers
15-1254,Web Developers,85350.0,2023,web developers
15-1255,Web and Digital Interface Designers,111060.0,2023,web digital interface designers
15-1290,Miscellaneous Computer Occupations,437170.0,2023,miscellaneous computer occupations
15-1299,"Computer Occupations, All Other",437170.0,2023,computer occupations all other
15-2000,Mathematical Science Occupations,372550.0,2023,mathematical science occupations
15-2010,Actuaries,25470.0,2023,actuaries
15-2011,Actuaries,25470.0,2023,actuaries
15-2020,Mathematicians,2220.0,2023,mathematicians
15-2021,Mathematicians,2220.0,2023,mathematicians
15-2030,Operations Research Analysts,117880.0,2023,operations research analysts
15-2031,Operations Research Analysts,117880.0,2023,operations research analysts
15-2040,Statisticians,29950.0,2023,statisticians
15-2041,Statisticians,29950.0,2023,statisticians
15-2050,Data Scientists,192710.0,2023,data scientists
15-2051,Data Scientists,192710.0,2023,data scientists
15-2090,Miscellaneous Mathematical Science Occupations,4320.0,2023,miscellaneous mathematical science occupations
15-2099,"Mathematical Science Occupations, All Other",4320.0,2023,mathematical science occupations all other
17-0000,Architecture and Engineering Occupations,2539660.0,2023,architecture engineering occupations
17-1000,"Architects, Surveyors, and Cartographers",194610.0,2023,architects surveyors cartographers
17-1010,"Architects, Except Naval",131540.0,2023,architects except naval
17-1011,"Architects, Except Landscape and Naval",111170.0,2023,architects except landscape naval
17-1012,Landscape Architects,20370.0,2023,landscape architects
17-1020,"Surveyors, Cartographers, and Photogrammetrists",63070.0,2023,surveyors cartographers photogrammetrists
17-1021,Cartographers and Photogrammetrists,12330.0,2023,cartographers photogrammetrists
17-1022,Surveyors,50740.0,2023,surveyors
17-2000,Engineers,1703700.0,2023,engineers
17-2010,Aerospace Engineers,66660.0,2023,aerospace engineers
17-2011,Aerospace Engineers,66660.0,2023,aerospace engineers
17-2020,Agricultural Engineers,1860.0,2023,agricultural engineers
17-2021,Agricultural Engineers,1860.0,2023,agricultural engineers
17-2030,Bioengineers and Biomedical Engineers,19320.0,2023,bioengineers biomedical engineers
17-2031,Bioengineers and Biomedical Engineers,19320.0,2023,bioengineers biomedical engineers
17-2040,Chemical Engineers,21140.0,2023,chemical engineers
17-2041,Chemical Engineers,21140.0,2023,chemical engineers
17-2050,Civil Engineers,327950.0,2023,civil engineers
17-2051,Civil Engineers,327950.0,2023,civil engineers
17-2060,Computer Hardware Engineers,82660.0,2023,computer hardware engineers
17-2061,Computer Hardware Engineers,82660.0,2023,computer hardware engineers
17-2070,Electrical and Electronics Engineers,281840.0,2023,electrical electronics engineers
17-2071,Electrical Engineers,185430.0,2023,electrical engineers
17-2072,"Electronics Engineers, Except Computer",96410.0,2023,electronics engineers except computer
17-2080,Environmental Engineers,39880.0,2023,environmental engineers
17-2081,Environmental Engineers,39880.0,2023,environmental engineers
