occupation_code,occupation_name,adverts,year
00-0000,"Total, all occupations",18863.3,2024
11-0000,Management occupations,1147.9,2024
11-1000,Top executives,333.1,2024
11-1011,Chief executives,22.2,2024
11-1021,General and operations managers,308.7,2024
11-1031,Legislators,2.2,2024
11-2000,"Advertising, marketing, promotions, public relations, and sales managers",95.6,2024
11-2011,Advertising and promotions managers,2.1,2024
11-2020,Marketing and sales managers,83.3,2024
11-2021,Marketing managers,34.3,2024
11-2022,Sales managers,49.0,2024
11-2030,Public relations and fundraising managers,10.2,2024
11-2032,Public relations managers,6.6,2024
11-2033,Fundraising managers,3.6,2024
11-3000,Operations specialties managers,231.7,2024
11-3010,Administrative services and facilities managers,36.4,2024
11-3012,Administrative services managers,23.2,2024
11-3013,Facilities managers,13.2,2024
11-3021,Computer and information systems managers,55.6,2024
11-3031,Financial managers,74.6,2024
11-3051,Industrial production managers,17.1,2024
11-3061,Purchasing managers,6.4,2024
11-3071,"Transportation, storage, and distribution managers",18.5,2024
11-3111,Compensation and benefits managers,1.5,2024
11-3121,Human resources managers,17.9,2024
11-3131,Training and development managers,3.8,2024
11-9000,Other management occupations,487.4,2024
11-9013,"Farmers, ranchers, and other agricultural managers",85.5,2024
11-9021,Construction managers,46.8,2024
11-9030,Education and childcare administrators,45.6,2024
11-9031,"Education and childcare administrators, preschool and daycare",5.5,2024
11-9032,"Education administrators, kindergarten through secondary",20.8,2024
11-9033,"Education administrators, postsecondary",15.1,2024
11-9039,"Education administrators, all other",4.1,2024
11-9041,Architectural and engineering managers,14.5,2024
11-9051,Food service managers,42.0,2024
11-9070,Entertainment and recreation managers,6.1,2024
11-9071,Gambling managers,0.6,2024
11-9072,"Entertainment and recreation managers, except gambling",5.5,2024
11-9081,Lodging managers,5.4,2024
11-9111,Medical and health services managers,62.1,2024
11-9121,Natural sciences managers,8.5,2024
11-9131,Postmasters and mail superintendents,0.9,2024
11-9141,"Property, real estate, and community association managers",39.0,2024
11-9151,Social and community service managers,18.6,2024
11-9161,Emergency management directors,1.0,2024
11-9170,Personal service managers,4.6,2024
11-9171,Funeral home managers,2.6,2024
11-9179,"Personal service managers, all other",2.1,2024
11-9199,"Managers, all other",106.7,2024
13-0000,Business and financial operations occupations,942.5,2024
13-1000,Business operations specialists,689.9,2024
13-1011,"Agents and business managers of artists, performers, and athletes",2.2,2024
13-1020,Buyers and purchasing agents,52.2,2024
13-1030,"Claims adjusters, appraisers, examiners, and investigators",21.6,2024
13-1031,"Claims adjusters, examiners, and investigators",21.1,2024
13-1032,"Insurance appraisers, auto damage",0.5,2024
13-1041,Compliance officers,33.3,2024
13-1051,Cost estimators,16.9,2024
13-1070,Human resources workers,87.2,2024
13-1071,Human resources specialists,81.8,2024
13-1074,Farm labor contractors,0.3,2024
13-1075,Labor relations specialists,5.1,2024
13-1080,Logisticians and project management specialists,104.7,2024
13-1081,Logisticians,26.4,2024
13-1082,Project management specialists,78.2,2024
13-1111,Management analysts,98.1,2024
13-1121,"Meeting, convention, and event planners",15.5,2024
13-1131,Fundraisers,10.2,2024
13-1141,"Compensation, benefits, and job analysis specialists",8.5,2024
13-1151,Training and development specialists,43.9,2024
13-1161,Market research analysts and marketing specialists,87.2,2024
13-1199,"Business operations specialists, all other",108.2,2024
13-2000,Financial specialists,252.6,2024
13-2011,Accountants and auditors,124.2,2024
13-2020,Property appraisers and assessors,6.3,2024
13-2031,Budget analysts,3.1,2024
13-2041,Credit analysts,3.7,2024
13-2050,Financial analysts and advisors,62.3,2024
13-2051,Financial and investment analysts,25.1,2024
13-2052,Personal financial advisors,24.1,2024
13-2053,Insurance underwriters,8.2,2024
13-2054,Financial risk specialists,4.8,2024
13-2061,Financial examiners,5.7,2024
13-2070,Credit counselors and loan officers,22.5,2024
13-2071,Credit counselors,2.2,2024
13-2072,Loan officers,20.3,2024
13-2080,"Tax examiners, collectors and preparers, and revenue agents",14.7,2024
13-2081,"Tax examiners and collectors, and revenue agents",4.3,2024
13-2082,Tax preparers,10.4,2024
13-2099,"Financial specialists, all other",10.3,2024
15-0000,Computer and mathematical occupations,355.4,2024
15-1200,Computer occupations,317.7,2024
15-1210,Computer and information analysts,50.2,2024
15-1211,Computer systems analysts,34.2,2024
15-1212,Information security analysts,16.0,2024
15-1221,Computer and information research scientists,3.2,2024
15-1230,Computer support specialists,50.5,2024
15-1231,Computer network support specialists,9.6,2024
15-1232,Computer user support specialists,40.8,2024
15-1240,Database and network administrators and architects,33.3,2024
15-1241,Computer network architects,11.2,2024
15-1242,Database administrators,3.8,2024
15-1243,Database architects,4.0,2024
15-1244,Network and computer systems administrators,14.3,2024
15-1250,"Software and web developers, programmers, and testers",149.2,2024
15-1251,Computer programmers,5.5,2024
15-1252,Software developers,115.2,2024
15-1253,Software quality assurance analysts and testers,14.0,2024
15-1254,Web developers,5.4,2024
15-1255,Web and digital interface designers,9.1,2024
15-1299,"Computer occupations, all other",31.3,2024
15-2000,Mathematical science occupations,37.7,2024
15-2011,Actuaries,2.4,2024
15-2021,Mathematicians,0.1,2024
15-2031,Operations research analysts,9.6,2024
15-2041,Statisticians,2.0,2024
15-2051,Data scientists,23.4,2024
15-2099,"Mathematical science occupations, all other",0.3,2024
17-0000,Architecture and engineering occupations,186.5,2024
17-1000,"Architects, surveyors, and cartographers",14.4,2024
17-1010,"Architects, except naval",9.5,2024
17-1011,"Architects, except landscape and naval",7.8,2024
17-1012,Landscape architects,1.7,2024
17-1020,"Surveyors, cartographers, and photogrammetrists",4.9,2024
17-1021,Cartographers and photogrammetrists,1.0,2024
17-1022,Surveyors,3.9,2024
17-2000,Engineers,114.6,2024
17-2011,Aerospace engineers,4.5,2024
17-2021,Agricultural engineers,0.1,2024
17-2031,Bioengineers and biomedical engineers,1.3,2024
17-2041,Chemical engineers,1.1,2024
17-2051,Civil engineers,23.6,2024
17-2061,Computer hardware engineers,4.7,2024
17-2070,Electrical and electronics engineers,17.5,2024
17-2071,Electrical engineers,11.7,2024
17-2072,"Electronics engineers, except computer",5.7,2024
17-2081,Environmental engineers,3.0,2024
17-2110,"Industrial engineers, including health and safety",26.8,2024
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",1.5,2024
17-2112,Industrial engineers,25.2,2024
17-2121,Marine engineers and naval architects,0.6,2024
17-2131,Materials engineers,1.5,2024
17-2141,Mechanical engineers,18.1,2024
17-2151,"Mining and geological engineers, including mining safety engineers",0.4,2024
17-2161,Nuclear engineers,0.8,2024
17-2171,Petroleum engineers,1.2,2024
17-2199,"Engineers, all other",9.3,2024
17-3000,"Drafters, engineering technicians, and mapping technicians",57.5,2024
17-3010,Drafters,16.2,2024
17-3011,Architectural and civil drafters,10.0,2024
17-3012,Electrical and electronics drafters,1.7,2024
17-3013,Mechanical drafters,3.3,2024
17-3019,"Drafters, all other",1.3,2024
17-3020,"Engineering technologists and technicians, except drafters",33.7,2024
17-3021,Aerospace engineering and operations technologists and technicians,0.9,2024
17-3022,Civil engineering technologists and technicians,5.5,2024
17-3023,Electrical and electronic engineering technologists and technicians,8.4,2024
17-3024,Electro-mechanical and mechatronics technologists and technicians,1.3,2024
17-3025,Environmental engineering technologists and technicians,1.1,2024
17-3026,Industrial engineering technologists and technicians,6.3,2024
17-3027,Mechanical engineering technologists and technicians,3.2,2024
17-3028,Calibration technologists and technicians,1.4,2024
17-3029,"Engineering technologists and technicians, except drafters, all other",5.7,2024
17-3031,Surveying and mapping technicians,7.6,2024
19-0000,"Life, physical, and social science occupations",144.7,2024
19-1000,Life scientists,28.4,2024
19-1010,Agricultural and food scientists,3.1,2024
19-1011,Animal scientists,0.2,2024
19-1012,Food scientists and technologists,1.2,2024
19-1013,Soil and plant scientists,1.7,2024
19-1020,Biological scientists,10.8,2024
19-1021,Biochemists and biophysicists,2.9,2024
19-1022,Microbiologists,1.7,2024
19-1023,Zoologists and wildlife biologists,1.4,2024
19-1029,"Biological scientists, all other",4.8,2024
19-1030,Conservation scientists and foresters,3.6,2024
19-1031,Conservation scientists,2.5,2024
19-1032,Foresters,1.1,2024
19-1040,Medical scientists,10.4,2024
19-1041,Epidemiologists,0.8,2024
19-1042,"Medical scientists, except epidemiologists",9.6,2024
19-1099,"Life scientists, all other",0.4,2024
19-2000,Physical scientists,22.4,2024
19-2010,Astronomers and physicists,1.8,2024
19-2011,Astronomers,0.1,2024
19-2012,Physicists,1.7,2024
19-2021,Atmospheric and space scientists,0.7,2024
19-2030,Chemists and materials scientists,7.0,2024
19-2031,Chemists,6.3,2024
19-2032,Materials scientists,0.6,2024
19-2040,Environmental scientists and geoscientists,11.0,2024
19-2041,"Environmental scientists and specialists, including health",8.5,2024
19-2042,"Geoscientists, except hydrologists and geographers",2.0,2024
19-2043,Hydrologists,0.5,2024
19-2099,"Physical scientists, all other",2.0,2024
19-3000,Social scientists and related workers,23.1,2024
19-3011,Economists,0.9,2024
19-3022,Survey researchers,0.7,2024
19-3030,Psychologists,12.9,2024
19-3032,Industrial-organizational psychologists,0.4,2024
19-3033,Clinical and counseling psychologists,4.8,2024
19-3034,School psychologists,3.8,2024
19-3039,"Psychologists, all other",3.9,2024
19-3041,Sociologists,0.3,2024
19-3051,Urban and regional planners,3.4,2024
19-3090,Miscellaneous social scientists and related workers,4.9,2024
19-3091,Anthropologists and archeologists,0.8,2024
19-3092,Geographers,0.1,2024
19-3093,Historians,0.3,2024
19-3094,Political scientists,0.5,2024
19-3099,"Social scientists and related workers, all other",3.2,2024
19-4000,"Life, physical, and social science technicians",52.6,2024
19-4010,Agricultural and food science technicians,6.1,2024
19-4012,Agricultural technicians,2.9,2024
19-4013,Food science technicians,3.2,2024
19-4021,Biological technicians,9.1,2024
19-4031,Chemical technicians,6.7,2024
19-4040,Environmental science and geoscience technicians,7.3,2024
19-4042,"Environmental science and protection technicians, including health",5.6,2024
19-4043,"Geological technicians, except hydrologic technicians",1.3,2024
19-4044,Hydrologic technicians,0.4,2024
19-4051,Nuclear technicians,0.7,2024
19-4061,Social science research assistants,5.2,2024
19-4071,Forest and conservation technicians,3.9,2024
19-4090,"Miscellaneous life, physical, and social science technicians",13.5,2024
19-4092,Forensic science technicians,2.9,2024
19-4099,"Life, physical, and social science technicians, all other",10.6,2024
19-5000,Occupational health and safety specialists and technicians,18.3,2024
19-5011,Occupational health and safety specialists,14.9,2024
19-5012,Occupational health and safety technicians,3.4,2024
21-0000,Community and social service occupations,313.7,2024
21-1000,"Counselors, social workers, and other community and social service specialists",265.8,2024
21-1010,Counselors,104.4,2024
21-1012,"Educational, guidance, and career counselors and advisors",31.0,2024
21-1013,Marriage and family therapists,7.7,2024
21-1015,Rehabilitation counselors,10.0,2024
21-1018,"Substance abuse, behavioral disorder, and mental health counselors",48.3,2024
21-1019,"Counselors, all other",7.4,2024
21-1020,Social workers,74.0,2024
21-1021,"Child, family, and school social workers",35.1,2024
21-1022,Healthcare social workers,18.4,2024
21-1023,Mental health and substance abuse social workers,13.5,2024
21-1029,"Social workers, all other",7.0,2024
21-1090,Miscellaneous community and social service specialists,87.4,2024
21-1091,Health education specialists,7.9,2024
21-1092,Probation officers and correctional treatment specialists,7.9,2024
21-1093,Social and human service assistants,50.6,2024
21-1094,Community health workers,7.8,2024
21-1099,"Community and social service specialists, all other",13.1,2024
21-2000,Religious workers,47.9,2024
21-2011,Clergy,23.0,2024
21-2021,"Directors, religious activities and education",13.8,2024
21-2099,"Religious workers, all other",11.1,2024
23-0000,Legal occupations,83.8,2024
23-1000,"Lawyers, judges, and related workers",34.4,2024
23-1010,Lawyers and judicial law clerks,32.5,2024
23-1011,Lawyers,31.5,2024
23-1012,Judicial law clerks,1.0,2024
23-1020,"Judges, magistrates, and other judicial workers",1.8,2024
23-1021,"Administrative law judges, adjudicators, and hearing officers",0.5,2024
23-1022,"Arbitrators, mediators, and conciliators",0.3,2024
23-1023,"Judges, magistrate judges, and magistrates",0.9,2024
23-2000,Legal support workers,49.4,2024
23-2011,Paralegals and legal assistants,39.3,2024
23-2090,Miscellaneous legal support workers,10.2,2024
23-2093,"Title examiners, abstractors, and searchers",5.4,2024
23-2099,"Legal support workers, all other",4.7,2024
25-0000,Educational instruction and library occupations,890.3,2024
25-1000,Postsecondary teachers,136.4,2024
25-1011,"Business teachers, postsecondary",8.1,2024
25-1020,"Math and computer science teachers, postsecondary",7.9,2024
25-1021,"Computer science teachers, postsecondary",3.5,2024
25-1022,"Mathematical science teachers, postsecondary",4.4,2024
25-1030,"Engineering and architecture teachers, postsecondary",5.0,2024
25-1031,"Architecture teachers, postsecondary",0.9,2024
25-1032,"Engineering teachers, postsecondary",4.1,2024
25-1040,"Life sciences teachers, postsecondary",6.3,2024
25-1041,"Agricultural sciences teachers, postsecondary",0.8,2024
25-1042,"Biological science teachers, postsecondary",5.4,2024
25-1043,"Forestry and conservation science teachers, postsecondary",0.1,2024
25-1050,"Physical sciences teachers, postsecondary",4.9,2024
