occupation_code,ai_exposure,occupation_name,employment_2023_x,employment_2023_y,weekly_pay,adverts,education_required,employment_growth,log_pay,log_employment,advert_intensity,skill,ai_skill_interaction,ai_exposure_z,pay_z,employment_z,advert_intensity_z,exposure_quantile
11-1011,1.334246,Chief Executives,211230.0,211230.0,206680.0,22.2,Bachelor's degree,0.0,12.238926982401122,12.260702866181289,0.00010509870756994745,4.0,5.336984,1.341185325115709,4.717678562225494,0.07412963413462892,-0.07543573712504412,High
11-1021,0.5748773,General and Operations Managers,3507810.0,3507810.0,101280.0,308.7,Bachelor's degree,0.0,11.525644237378003,15.07050246909178,8.800362619412111e-05,4.0,2.2995092,0.5880444925391963,1.219104802381093,8.003064708421832,-0.1038295169665881,Upper-middle
11-2011,1.294387,Advertising and Promotions Managers,20630.0,20630.0,131870.0,2.1,Bachelor's degree,0.0,11.789571867801746,9.934501606065297,0.00010179350460494426,4.0,5.177548,1.3016532237192895,2.2344878319222716,-0.3843015354893878,-0.08092545684364257,High
11-2021,1.315032,Marketing Managers,368940.0,368940.0,157620.0,34.3,Bachelor's degree,0.0,11.96794235190764,12.81838930817557,9.296904645741854e-05,4.0,5.260128,1.3221289063337325,3.0892152922258136,0.4534537671955086,-0.09558228803112516,High
11-2022,1.26628,Sales Managers,575880.0,575880.0,135160.0,49.0,Bachelor's degree,0.0,11.814214540828226,13.26365458464029,8.508717093838994e-05,4.0,5.06512,1.2737767397646202,2.3436937870445496,0.9511859090737563,-0.10867355289882079,High
11-3021,1.059853,Computer and Information Systems Managers,592600.0,592600.0,169510.0,55.6,Bachelor's degree,0.0,12.040667201112532,13.292274914121602,9.382382720215997e-05,4.0,4.239412,1.0690427249885677,3.48388362243976,0.991400857426923,-0.09416255473208983,High
11-3031,1.446232,Financial Managers,787340.0,787340.0,156100.0,74.6,Bachelor's degree,0.0,11.958252106503524,13.576415454435995,9.474940940381537e-05,4.0,5.784928,1.4522528859421078,3.0387614770933324,1.459789556128817,-0.09262522497733255,High
11-3051,0.5086878,Industrial Production Managers,222890.0,222890.0,116970.0,17.1,Bachelor's degree,0.0,11.669672770644752,12.314433655200238,7.671945802862399e-05,4.0,2.0347512,0.5223978374455335,1.7399076704262415,0.10217426917038985,-0.12257176098065599,Upper-middle
11-3061,1.423426,Purchasing Managers,77530.0,77530.0,136380.0,6.4,Bachelor's degree,0.0,11.823200386074644,11.258420237213004,8.254869082935638e-05,4.0,5.693704,1.429633926498902,2.3841896123482513,-0.2474456406750827,-0.11288979754624082,High
11-3071,0.8907923,"Transportation, Storage, and Distribution Managers",198780.0,198780.0,99200.0,18.5,High school diploma or equivalent,0.0,11.504893293272964,12.199953964521997,9.306771304960258e-05,1.0,0.8907923,0.901368555176238,1.1500627395682244,0.044184890893186064,-0.09541840946075751,Upper-middle
