occupation_name_bls,bls_outlook,bls_url
21 Dealer,Little or no change,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm
3D Animator,Slower than average,https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm
3rd Grade Reading Teacher,,https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm
911 Dispatcher,,https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm
A&P Mechanic,Faster than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm
Able Seaman,Slower than average,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm
Absorption and Adsorption Engineer,,https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm
AC/DC Rewinder,Little or no change,https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm
Accompanist,Slower than average,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm
Accountant,Faster than average,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm
Accounting Professor,Faster than average,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm
Accounts Collector,,https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm
Accounts Receivable Assistant,,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm
Accredited Legal Secretary,Little or no change,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm
Acoustical Ceiling Installer,,https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm
Acquisitions Librarian,Slower than average,https://www.bls.gov/ooh/education-training-and-library/librarians.htm
Activities Concierge,Slower than average,https://www.bls.gov/ooh/personal-care-and-service/concierges.htm
Actors,Little or no change,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm
Actuarial Associate,Faster than average,https://www.bls.gov/ooh/math/actuaries.htm
Acute Care Nurse Practitioner,Faster than average,https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm
Addiction Counselor,Faster than average,https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm
Addiction Psychiatrist,,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm
Addictions Counselor Assistant,Faster than average,https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm
Administrative Clerk,,https://www.bls.gov/ooh/office-and-administrative-support/general-office-clerks.htm
Administrative Court Justice,Slower than average,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm
Administrative services and facilities managers,,https://www.bls.gov/ooh/management/administrative-services-managers.htm
Admiral,,https://www.bls.gov/ooh/management/top-executives.htm
Admissions Counselor,,https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm
Admitting Interviewer,,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm
Adobe Layer,Slower than average,https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm
Adobe Layer Helper,Faster than average,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm
Adult basic and secondary education and ESL teachers,,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm
Adult ESL Teacher Aide,,https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm
Adult Protective Service Social Worker,Faster than average,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm
"Advertising, promotions, and marketing managers",Faster than average,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm
Advertising Account Executive,,https://www.bls.gov/ooh/sales/advertising-sales-agents.htm
Advertising Analyst,Faster than average,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm
Advertising Copywriter,,https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm
Advertising Editor,Slower than average,https://www.bls.gov/ooh/media-and-communication/editors.htm
Advertising Photographer,Slower than average,https://www.bls.gov/ooh/media-and-communication/photographers.htm
Aerial Crop Duster,,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm
Aerobics Instructor,Faster than average,https://www.bls.gov/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm
Aerodynamics Engineer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm
Aeronautical Drafter,Little or no change,https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm
Aerospace Engineering and Operations Technologist,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm
Aerospace Products Sales Engineer,Faster than average,https://www.bls.gov/ooh/sales/sales-engineers.htm
Agency Legal Counsel,,https://www.bls.gov/ooh/legal/lawyers.htm
Agricultural and food science technicians,Faster than average,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm
Agricultural and food scientists,Faster than average,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm
Agricultural Chemist,Faster than average,https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm
Agricultural Crop Farm Manager,,https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm
Agricultural Economist,Slower than average,https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm
Agricultural Engineer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm
Agricultural Equipment Mechanic,Faster than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm
Agricultural Real Estate Agent,,https://www.bls.gov/ooh/sales/real-estate-brokers-and-sales-agents.htm
Agricultural Research Director,,https://www.bls.gov/ooh/management/natural-sciences-managers.htm
Agricultural workers,,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm
Air Analysis Engineering Technician,Slower than average,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineering-technicians.htm
Air Bag Builder,,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm
Air Conditioning Service Technician,Faster than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm
Air Conditioning Sheet Metal Installer,Slower than average,https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm
Aircraft Cleaner,,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm
Aircraft Painter,Slower than average,https://www.bls.gov/ooh/production/painting-and-coating-workers.htm
Airline Flight Attendant,Faster than average,https://www.bls.gov/ooh/transportation-and-material-moving/flight-attendants.htm
Air Pollution Compliance Inspector,,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm
Air Pollution Control Engineer,,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm
Airport Apron Bus Driver,Faster than average,https://www.bls.gov/ooh/transportation-and-material-moving/taxi-drivers-and-chauffeurs.htm
Airport Manager,Faster than average,https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm
Airport Tower Controller,Slower than average,https://www.bls.gov/ooh/transportation-and-material-moving/air-traffic-controllers.htm
Air Quality Technician,,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm
Airset Caster,,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm
Algebraist,Faster than average,https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm
Algebra Tutor,Slower than average,https://www.bls.gov/ooh/education-training-and-library/tutors.htm
Alligator Hunter,,https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm
All Terrain Vehicle Technician,,https://www.bls.gov/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm
Almond Paste Mixer,Faster than average,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm
Alternative Dispute Resolution Coordinator,,https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm
Aluminum Welder,Slower than average,https://www.bls.gov/ooh/production/welders-cutters-solderers-and-brazers.htm
Ambulance Driver-Paramedic,Faster than average,https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm
American Board Certified Orthotist,Faster than average,https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm
American Sign Language Interpreter,Slower than average,https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm
Ampoule Examiner,Little or no change,https://www.bls.gov/ooh/production/quality-control-inspectors.htm
Amusement Park Manager,Faster than average,https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm
Anesthesiologist Assistant,Faster than average,https://www.bls.gov/ooh/healthcare/physician-assistants.htm
Angle Dozer Operator,,https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm
Animal care and service workers,Faster than average,https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm
Animal Pathologist,Faster than average,https://www.bls.gov/ooh/healthcare/veterinarians.htm
Announcers and DJs,,https://www.bls.gov/ooh/media-and-communication/announcers.htm
Antenna Engineer,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm
Anthropologist,,https://www.bls.gov/ooh/life-physical-and-social-science/anthropologists-and-archeologists.htm
Apartment Manager,,https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm
Apothecary,Faster than average,https://www.bls.gov/ooh/healthcare/pharmacists.htm
Apparel Designer,Slower than average,https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm
