term,coef,std_err,p_value,r_squared,n,outcome,model
const,10.990791345243235,0.013200768934880192,0.0,0.2945178559080617,670,log_pay,baseline_full
ai_exposure,0.21744194523835697,0.01164775432786301,8.992526223460226e-78,0.2945178559080617,670,log_pay,baseline_full
const,10.65939595848546,0.02231567544684792,0.0,0.5217464346565979,670,log_pay,with_skill_full
ai_exposure,0.028707231291337315,0.015035067007945593,0.056216732463388396,0.5217464346565979,670,log_pay,with_skill_full
skill,0.14582313923573598,0.008940193564597762,8.248617059730112e-60,0.5217464346565979,670,log_pay,with_skill_full
const,10.659391868315552,0.02232516762126838,0.0,0.5217563807069935,670,log_pay,with_interaction_full
ai_exposure,0.03013069321665178,0.017085841865735293,0.07781806047599811,0.5217563807069935,670,log_pay,with_interaction_full
skill,0.14636198186725954,0.011229497228875973,7.868920303926775e-39,0.5217563807069935,670,log_pay,with_interaction_full
ai_skill_interaction,-0.0009264430527190642,0.008583642170688703,0.914050244289896,0.5217563807069935,670,log_pay,with_interaction_full
const,10.764956477839124,0.06446137911318756,0.0,0.00649508533909271,670,log_employment,baseline_full
ai_exposure,0.1336542236988877,0.06545154870808137,0.04114825599966544,0.00649508533909271,670,log_employment,baseline_full
const,11.360375464983212,0.1303548115416862,0.0,0.0493114607514783,670,log_employment,with_skill_full
ai_exposure,0.47275439439440436,0.08920255963763364,1.1593907766900257e-07,0.0493114607514783,670,log_employment,with_skill_full
skill,-0.2620008284224419,0.048193260125459825,5.434891653814628e-08,0.0493114607514783,670,log_employment,with_skill_full
const,11.360175720154693,0.13045406636145912,0.0,0.050696026393445615,670,log_employment,with_interaction_full
ai_exposure,0.5422696381603944,0.11513759368077167,2.4801705792711578e-06,0.050696026393445615,670,log_employment,with_interaction_full
skill,-0.2356862665675599,0.05705273517580056,3.6114954021525e-05,0.050696026393445615,670,log_employment,with_interaction_full
ai_skill_interaction,-0.04524315930030834,0.04681556940808775,0.3338377280162276,0.050696026393445615,670,log_employment,with_interaction_full
